t,main,turn,theta,pm1,pm2,pm3,ptm,pt0,ptp,confm,conft,thg,thref,wref
51.4,1,0,-0.000279947184026241,0.99998927116394,1.9170643383859e-07,1.05419394458295e-05,6.58001299598254e-05,0.999739110469818,0.000195126020116732,0.99998927116394,0.999739110469818,0,0,0.060359080743493
51.6,1,0,-0.00480681378394365,0.999913692474365,1.32519710405177e-06,8.49964999360964e-05,4.17716219089925e-05,0.993610441684723,0.00634777545928955,0.999913692474365,0.993610441684723,0,0,0.0752932531230424
51.8,1,0,-0.00800901930779219,0.998111963272095,3.25456639984623e-05,0.00185546220745891,1.97127701540012e-06,0.931271195411682,0.0687267929315567,0.998111963272095,0.931271195411682,0,0,0.0879386267316831
52,1,0,-0.0142354788258672,0.990189492702484,9.2414440587163e-05,0.00971812289208174,1.18781962044068e-08,0.975645661354065,0.0243543162941933,0.990189492702484,0.975645661354065,0,0,0.0973169473041629
52.2,1,0,-0.0141434939578176,0.992538273334503,3.38705540343653e-05,0.00742792477831244,2.6682188359814e-13,0.999547183513641,0.000452771404525265,0.992538273334503,0.999547183513641,0,0,0.104055294451723
52.4,1,0,-0.0133459875360131,0.999607503414154,1.40072907015565e-05,0.000378502503735945,1.14852691329118e-15,0.999953269958496,4.67848694825079e-05,0.999607503414154,0.999953269958496,0,0,0.10889681398927
52.6,1,0,-0.0265288017690182,0.999922037124634,1.57278518599924e-05,6.21679137111641e-05,8.62286475387133e-16,0.999949336051941,5.0641770940274e-05,0.999922037124634,0.999949336051941,0,0,0.112375458072031
52.8,1,0,-0.0173713564872742,0.999989628791809,1.76951641606138e-06,8.55163762025768e-06,7.50278544211369e-16,0.999905467033386,9.44849525694735e-05,0.999989628791809,0.999905467033386,0,0,0.114874872679506
53,1,0,-0.0145502975210547,0.999963164329529,3.15120337290864e-06,3.37909259542357e-05,5.40996932473892e-17,0.99995481967926,4.51343730674125e-05,0.999963164329529,0.99995481967926,0,0,0.116670708422238
53.2,1,0,-0.0191970467567444,0.999661922454834,1.12383686428075e-05,0.000326830078847706,1.5000713613496e-17,0.999977111816406,2.29023535212036e-05,0.999661922454834,0.999977111816406,0,0,0.117961020963914
53.4,1,0,-0.0325507074594498,0.937160611152649,0.000154122957610525,0.0626852735877037,1.02145225121723e-17,0.999867916107178,0.00013203191338107,0.937160611152649,0.999867916107178,0,0,0.118888113801855
53.6,3,0,-0.0364422127604485,0.21385483443737,0.000223345108679496,0.785921812057495,2.24890589305691e-17,0.998971581459045,0.0010283759329468,0.785921812057495,0.998971581459045,0,0,0.119554232360266
